Employee No.,Last Name,First Name,Worked Hours,Basic Salary,Hourly Rate,Gross Income,SSS Deduction,Philhealth Deduction,Pagibig Deduction,Withholding Tax,Covered Month,Covered Year,Benefits,Total Deductions,Take-Home pay
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,January,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,February,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,March,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,April,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,May,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,June,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,July,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,August,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,September,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,October,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,November,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,December,2021,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,January,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,February,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,March,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,April,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,May,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,June,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,July,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,August,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,September,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,October,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,November,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,December,2022,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,January,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,February,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,March,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,April,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,May,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,June,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,July,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,August,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,September,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,October,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,November,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,December,2023,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,January,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,February,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,March,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,April,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,May,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,June,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,July,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,August,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,September,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,October,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,November,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,December,2024,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,January,2025,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,February,2025,4500,15518.13,71106.87
1,Garcia,Manuel III,154,90000,562.5,86625,1125,1299.38,100,12993.75,March,2025,4500,15518.13,71106.87
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,January,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,February,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,March,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,April,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,May,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,June,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,July,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,August,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,September,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,October,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,November,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,December,2021,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,January,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,February,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,March,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,April,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,May,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,June,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,July,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,August,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,September,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,October,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,November,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,December,2022,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,January,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,February,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,March,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,April,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,May,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,June,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,July,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,August,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,September,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,October,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,November,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,December,2023,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,January,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,February,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,March,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,April,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,May,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,June,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,July,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,August,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,September,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,October,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,November,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,December,2024,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,January,2025,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,February,2025,4500,11001.25,48248.75
2,Lim,Antonio,158,60000,375,59250,1125,888.75,100,8887.5,March,2025,4500,11001.25,48248.75
3,Aquino,Bianca Sofia,162,60000,375,60750,1125,911.25,100,9112.5,January,2021,4500,11248.75,49501.25
3,Aquino,Bianca Sofia,162,60000,375,60750,1125,911.25,100,9112.5,February,2021,4500,11248.75,49501.25
3,Aquino,Bianca Sofia,162,60000,375,60750,1125,911.25,100,9112.5,March,2021,4500,11248.75,49501.25
