employeenumber,username,password
0,caparas,admin
1,mgarcia,OMoQ{8{K
2,alim,.&bI'F?=
3,baquino,"uoc""B;A2"
4,ireyes,hJ5_oX3O
5,ehernandez,>u<PH6|>
6,avillanueva,*5XK29_q
7,bsanjose,wcB+*3pj
8,aromualdez,"ky,H3G^P"
9,ratienza,"wD)S,8M("
10,ralvaro,gi:}cBSc
11,asalcedo,E0uJ$2V$
12,jlopez,.b$~pg<x
13,mfarala,62JhA5KY
14,lmartinez,jl?)]Cuv
15,fromualdez,V6e+}I7^
16,cmata,~G}5-G>m
17,sdeleon,".,wB[Ar^"
18,asanjose,AD(D(nAr
19,crosario,V%3!/3%W
20,mbautista,]gn5'=#d
21,dlazaro,5-<k.**v
22,kdelossantos,7p~LA=:U
23,vsantos,"qWO,<FE&"
24,tdelrosario,>%OG}pC+
25,jtolentino,tPtUhAF.
26,pgutierrez,'tL*vti|
27,gmanalaysay,37L0:?<4
28,lvillegas,{`f$?$7l
29,cramos,ZZ)zU5+-
30,emaceda,"fG2/PC""]"
31,daguilar,GbUH*z\#
32,jcastro,s[Z\d[_!
33,cmartinez,"LYk!f"")V"
34,bsantos,C4OX(0lG
