"entryID","employeeNumber","lastName","firstName","leaveStatus","submittedDate","leaveReason","startDate","endDate","leaveDay"
"1","Garcia","Manuel III","Rejected","08/06/2024","Others","11/06/2024","19/06/2024","5","0"
"1","Garcia","Manuel III","Rejected","17/06/2024","Paternity Leave","20/06/2024","24/06/2024","9","0"
"1","Garcia","Manuel III","Approved","11/06/2024","Sick Leave","16/06/2024","17/06/2024","3","0"
"1","Garcia","Manuel III","Rejected","03/06/2024","Vacation Leave","06/06/2024","11/06/2024","8","0"
"1","Garcia","Manuel III","Pending","24/06/2024","Others_Personal","25/06/2024","27/06/2024","3","0"
"1","Garcia","Manuel III","Pending","24/06/2024","Vacation Leave","02/07/2024","04/07/2024","3","0"
"2","Lim","Antonio","Approved","19/06/2024","Sick Leave","23/06/2024","28/06/2024","7","0"
"2","Lim","Antonio","Rejected","16/06/2024","Sick Leave","18/06/2024","20/06/2024","7","0"
"2","Lim","Antonio","Approved","31/05/2024","Sick Leave","03/06/2024","07/06/2024","6","0"
"2","Lim","Antonio","Rejected","15/06/2024","Paternity Leave","17/06/2024","21/06/2024","7","0"
"3","Aquino","Bianca Sofia ","Approved","24/05/2024","Vacation Leave","29/05/2024","07/06/2024","5","0"
"3","Aquino","Bianca Sofia ","Rejected","15/06/2024","Maternity Leave","20/06/2024","27/06/2024","3","0"
"3","Aquino","Bianca Sofia ","Approved","10/06/2024","Vacation Leave","15/06/2024","24/06/2024","5","0"
"3","Aquino","Bianca Sofia ","Approved","18/06/2024","Maternity Leave","19/06/2024","27/06/2024","5","0"
"4","Reyes","Isabella","Rejected","09/06/2024","Sick Leave","13/06/2024","17/06/2024","5","0"
"4","Reyes","Isabella","Approved","04/06/2024","Paternity Leave","05/06/2024","13/06/2024","7","0"
"4","Reyes","Isabella","Rejected","01/06/2024","Others","04/06/2024","07/06/2024","8","0"
"4","Reyes","Isabella","Rejected","22/05/2024","Sick Leave","24/05/2024","29/05/2024","4","0"
"5","Hernandez","Eduard","Approved","16/06/2024","Sick Leave","20/06/2024","25/06/2024","10","0"
"5","Hernandez","Eduard","Rejected","17/06/2024","Others","18/06/2024","20/06/2024","5","0"
"5","Hernandez","Eduard","Rejected","13/06/2024","Maternity Leave","14/06/2024","21/06/2024","4","0"
"5","Hernandez","Eduard","Approved","29/05/2024","Sick Leave","31/05/2024","10/06/2024","10","0"
"6","Villanueva","Andrea Mae","Rejected","12/06/2024","Maternity Leave","17/06/2024","23/06/2024","1","0"
"6","Villanueva","Andrea Mae","Approved","17/06/2024","Maternity Leave","21/06/2024","30/06/2024","9","0"
"6","Villanueva","Andrea Mae","Rejected","01/06/2024","Sick Leave","03/06/2024","13/06/2024","9","0"
"6","Villanueva","Andrea Mae","Approved","04/06/2024","Vacation Leave","07/06/2024","17/06/2024","2","0"
